,id,Name,price,Calories,Total Fat,Saturated Fat,Trans Fat,Polyunsaturated Fat,Monounsaturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrate,Dietary Fiber,Total Sugars,Added Sugars,Protein,Calcium,Iron
253,196100202,Thomas' Cinnamon Raisin Mini Bagels 10 Count - 15 Oz,4.99,240,15,0,0,05,0,0,330,110,49,2,11,7,8,20,25
257,960457724,Signature SELECT Bagels Plain - 18 Oz,2.99,230,1,05,0,,,0,400,70,47,2,4,3,8,60,26
260,960457623,Base Culture Bread Banana Loaf - 12 Oz,7.99,200,13,45,0,,,40,125,180,18,3,12,9,5,40,12
261,970115509,Unbun Bread Sliced Keto - 18.3 OZ,8.99,180,13,2,0,,,30,450,330,12,8,2,0,7,50,18
262,196100322,Thomas' 100% Whole Wheat Bagels - 20 Oz,4.99,250,2,05,0,1,0,0,350,230,50,7,7,6,11,25,22
266,960294278,belVita Breakfast Biscuits Gin... Edition - 5-1.76 Oz,4.99,230,9,1,0,,,0,180,90,35,3,11,10,3,10,18
267,960332262,Canyon Bakehouse Deli White Ba... resh 4 Count - 14 Oz,8.49,260,45,05,0,,3,0,490,140,53,2,4,4,4,50,18
268,960036233,Thomas' Everything Bagel Thins - 13 Oz,4.99,110,1,0,0,0,0,0,190,40,25,5,2,2,4,50,12
269,970070865,Thomas' Apple Cinnamon Bagel - 6 Count,4.99,270,15,05,0,05,0,0,410,160,54,4,8,7,9,15,24
273,960457722,Signature SELECT Bagels Everything - 18 Oz,2.99,240,25,05,0,,,0,600,80,47,3,4,3,9,100,28
274,960457725,Signature SELECT Bagels Cinnamon Raisin - 18 Oz,2.99,230,1,05,0,,,0,370,110,49,2,8,4,8,70,26
275,960457726,Signature SELECT Bagels Blueberry - 18 Oz,2.99,240,1,05,0,,,0,370,70,49,2,7,6,8,60,25
276,960457723,Signature SELECT Bagels Onion - 18 Oz,2.99,230,1,05,0,,,0,390,70,48,2,4,3,8,70,26
278,970104787,Sola Bagels Everything - 12 OZ,6.99,240,14,2,0,3,9,0,640,110,28,19,1,0,18,90,15
280,196100559,Thomas Bagels Mini Brown Sugar... ced 10 Count - 15 Oz,4.99,130,1,0,0,0,0,0,180,,24,1,4,,4,0,0
281,960327317,Oroweat Organic Bagels Rustic 5 Count - 13 Oz,5.99,210,15,0,0,1,0,0,390,100,40,3,5,,9,60,2
282,960332522,Wonder Bread Classic White Bre... Buns 8 Count - 15 Oz,4.49,150,2,05,0,15,0,0,310,40,29,0,4,4,4,40,19
283,960332521,Wonder Bread Classic White Bre... Buns 8 Count - 13 Oz,4.49,130,2,0,0,1,0,0,270,40,25,0,4,4,4,30,16
285,196011254,Semifreddis Bread Challah - 18 Oz,4.19,200,7,1,0,,,35,280,50,29,1,5,,5,10,02
286,113350052,Progresso Bread Crumbs Italian Style - 24 Oz,4.49,100,1,0,0,,,0,400,0,18,2,2,2,4,60,13
287,113350002,Progresso Bread Crumbs Italian Style - 15 Oz,3.79,100,1,0,0,,,0,400,0,18,2,2,2,4,60,13
288,960039453,Signature SELECT Bread Crumbs Panko - 8 Oz,3.49,100,05,0,0,,,0,100,40,21,1,1,1,4,5,0
289,113350003,Progresso Bread Crumbs Plain - 15 Oz,3.79,100,1,0,0,,,0,150,0,18,2,2,2,4,50,13
290,960090436,Signature SELECT Bread Crumbs... n Style Panko - 8 Oz,3.49,110,2,0,0,,,0,420,70,19,1,1,1,4,10,1
