,id,Name,price,Calories,Total Fat,Saturated Fat,Trans Fat,Polyunsaturated Fat,Monounsaturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrate,Dietary Fiber,Total Sugars,Added Sugars,Protein,Calcium,Iron
147,960060797,Signature SELECT Bread Honey Wheatberry - 24 Oz,4.49,100,15,0,0,,,0,190,60,20,2,2,2,3,40,1
148,196051031,Signature SELECT Bread Potato Enriched - 24 Oz,4.49,100,1,0,0,,,0,180,30,18,1,1,1,3,110,11
149,960081401,Schar Bread Artisan Baker Gluten Free White - 14.1 Oz,8.49,150,2,0,0,,,0,210,50,32,5,4,4,2,20,06
150,960105695,Canyon Bakehouse 7-Grain Glute... Bread Frozen - 18 Oz,7.79,90,15,0,0,0,1,15,120,70,17,1,3,3,2,10,05
151,196100807,Thomas' Original Nooks & Crannies English Muffins - 6 Count,4.99,150,1,0,0,05,0,0,240,40,28,1,1,0,5,90,16
152,196100325,Signature SELECT Plain English Muffins - 6 Count,2.99,110,05,0,0,,,0,200,30,22,1,1,1,3,50,13
153,960332679,Oroweat Multigrain Sandwich Thins - 12 Oz,6.49,150,15,05,0,0,05,0,300,110,28,3,3,2,6,160,14
155,960052443,Signature SELECT Bread Square... le Sourdough - 24 Oz,3.99,110,0,0,0,,,0,210,32,22,1,0,,5,58,2
156,960558342,Signature Select Bread 15 Grain Thin Sliced - 18 Oz,2.99,80,15,0,0,,,0,150,50,15,1,1,1,3,30,08
157,960057477,Signature SELECT Bread Round Sliced Sourdough - 24 Oz,3.99,110,0,0,0,,,0,200,31,21,1,0,,5,55,2
158,960081402,Schar Bread Artisan Baker Gluten Free Multigrain - 14.1 Oz,8.49,160,2,0,0,,,0,200,80,32,5,4,4,2,10,07
159,196051238,Signature SELECT Bread Butter Top Wheat - 22 Oz,2.99,140,1,0,0,,,0,270,69,27,2,2,,5,123,2
160,960061807,Oven Joy Bread White - 16 Oz,1.79,100,15,0,0,,,0,180,41,18,1,1,,4,70,1
161,960276896,Daves Killer Bread Bagel Organic 5 Count - 16.75 Oz,5.99,260,3,0,0,0,0,0,400,71,47,1,5,0,11,14,2
162,148100361,Pepperidge Farm Texas Toast Garlic 8 Count - 11.25 Oz,5.49,150,8,3,0,,,0,210,30,15,1,1,0,3,10,08
163,960165878,Daves Killer Bread Powerseed S... per Slice 25 Oz Loaf,7.99,100,25,0,0,15,05,0,135,110,18,4,1,1,5,0,11
165,960246830,Signature SELECT Bread Wheat Split Top Honey - 20 Oz,2.99,70,05,0,0,,,0,135,40,13,1,2,2,2,70,1
166,196100755,Signature SELECT Bread Raisin - 16 Oz,3.49,70,1,0,0,,,0,80,60,15,1,6,1,2,20,1
167,960276898,Daves Killer Bread Everything... c 5 Count - 16.75 Oz,5.99,270,6,05,0,0,0,0,400,194,46,3,5,0,11,49,2
170,960137459,Sumanos Bakery Bread Seeded Sweet Bread - 1.5 Lb,6.49,120,3,0,0,15,1,0,210,,19,1,0,,5,0,0
171,960558340,Signature Select Bread Sourdough Thin Sliced - 18 Oz,2.99,70,1,0,0,,,0,135,30,14,0,1,0,2,30,08
172,960180552,Brazi Bites Brazilian Cheese B... n 18 Count - 11.5 Oz,7.49,130,6,2,0,,,30,260,47,15,0,0,0,3,104,18
173,960332680,Oroweat 100% Whole Wheat Sandwich Thins - 12 Oz,6.49,140,15,05,0,05,05,0,280,150,28,4,3,2,6,70,13
174,960034296,Thomas' Plain Bagel Thins - 13 Oz,4.99,110,1,0,0,0,0,0,220,35,25,4,2,2,4,45,12
175,960546813,Daves Killer Bread 21 Whole Gr... urger Buns - 8 Count,7.99,110,2,0,0,0,0,0,190,40,21,2,2,0,3,0,0
177,196010342,Francisco International French Sliced Bread - 16 Oz,5.99,120,1,0,0,0,0,0,240,,22,1,1,,3,0,0
178,960519716,Alfaro's Artesano Brioche Bakery Bread - 20 Oz,5.29,110,15,0,0,,,0,190,35,21,1,3,3,3,40,11
179,960013141,Signature SELECT Bread Premium White Sandwich - 22 Oz,2.99,130,15,0,0,,,0,210,37,24,1,2,,3,123,1
181,960332260,Canyon Bakehouse Country White... Bread Fresh - 15 Oz,8.49,70,15,0,0,,,5,115,63,14,0,2,1,2,9,0
